id,name,categories,address,lat,lng,rating,userRatingCount,website,phone
ChIJLWE8OWwv9ocRayh4boDxxrM,"Mall of America®","mall","60 E Broadway, Bloomington, MN 55425, USA",44.8548651,-93.2422148,4.6,67761,"https://mallofamerica.com/","(952) 883-8800"
ChIJK7xLl1gZ2jERP_GdUY9XNLo,"VivoCity","mall","1 HarbourFront Walk, Singapore 098585",1.2647138999999998,103.8231658,4.5,54287,"http://www.vivocity.com.sg/","6377 6870"
ChIJFdmwIfas2YgR-_QNr2_AO_c,"Aventura Mall","mall","19501 Biscayne Blvd, Aventura, FL 33180, USA",25.957064300000003,-80.1427391,4.6,43242,"https://aventuramall.com/","(305) 935-1110"
ChIJ0b3z7m7BQIYRr1w81iD6A34,"The Galleria","mall","5085 Westheimer Rd, Houston, TX 77056, USA",29.7391955,-95.46343420000001,4.5,34902,"https://www.simon.com/mall/the-galleria","(713) 622-0663"
ChIJ0QX_Brki2jER-pZKNdqk_a8,"East Coast Park","park","Singapore",1.3007841999999998,103.9121866,4.6,31556,"https://www.nparks.gov.sg/visit/parks/park-detail/east-coast-park",""
ChIJFYwx7YYrTIYRHCf2hZihRtM,"Grapevine Mills","mall","3000 Grapevine Mills Pkwy, Grapevine, TX 76051, USA",32.965993,-97.04276039999999,4.5,28502,"https://www.simon.com/mall/grapevine-mills","(972) 724-4900"
ChIJwwPTwi-5woARbtuI_49vkMM,"The Grove","mall","189 The Grove Dr, Los Angeles, CA 90036, USA",34.0719407,-118.35751640000001,4.6,27654,"https://thegrovela.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings","(323) 900-8080"
ChIJ20X__K4Z2jERRE8GRs-d8HE,"Suntec City","mall","3 Temasek Blvd, Singapore 038983",1.2950324,103.85830150000001,4.4,27096,"https://sunteccity.com.sg/",""
ChIJ7xlFdKwT2jERXrseJIzS6tI,"Citrus By The Pool","cafe","3 Woodlands Street 13, Woodlands Swimming Complex, Singapore 738600",1.4344838,103.77948479999999,4.9,24975,"http://www.citrusbythepool.com/","6366 6581"
ChIJh_lm4VkPK4cRXbEZE_pSxx0,"Arizona Mills","mall","5000 S Arizona Mills Cir, Tempe, AZ 85282, USA",33.383125,-111.964485,4.4,23942,"https://www.simon.com/mall/arizona-mills","(480) 491-9700"
ChIJa9YM2-wP2jERmOUStQKyiS0,"Jurong Point","mall","1 Jurong West Central 2, Singapore 648886",1.3397443,103.7067297,4.4,22849,"https://www.jurongpoint.com.sg/","6950 8134"
ChIJZ1omp8gZ2jERgDUAb_hBKLY,"City Square Mall","mall","180 Kitchener Rd, Singapore 208539",1.3114516,103.85616080000001,4.3,22604,"http://www.citysquaremall.com.sg/","6595 6595"
ChIJZ6EbFTBt2jERflX9tqaEOF0,"KSL City Mall","mall","LG 64, 33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4858456,103.762422,4.1,22437,"http://www.kslcity.com.my/","07-288 2888"
ChIJeRqAraYX2jERQpyIAXSU1SU,"NEX","mall","Serangoon Central, 23, Singapore 556083",1.3507155,103.8720247,4.3,22025,"http://www.nex.com.sg/","6416 6366"
ChIJy4nAbDlJzDER6HZyA4ZtdpE,"Sunway Putra Mall","mall","100, Jalan Putra, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1665524,101.6924341,4.3,21937,"https://www.sunwayputramall.com/","03-2786 9300"
ChIJa79jQA-J2TERfO2f9xml320,"Mega Mall Batam Centre","mall","Jl. Engku Putri No.1, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29461, Indonesia",1.1293427,104.0558822,4.5,21389,"","(0778) 470100"
ChIJZ6vyT8MS2jERZbHkx3oUHnQ,"Johor Bahru City Square","mall","106-108, Jalan Wong Ah Fook, Bandar Johor Bahru, 80888 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.4616246,103.76359599999999,4.3,20805,"http://www.citysqjb.com/","07-226 3668"
ChIJAz1IDPgF9YgRvAlr9MLd7w0,"Lenox Square","mall","3393 Peachtree Rd NE, Atlanta, GA 30326, USA",33.8467226,-84.3637487,4.4,20359,"https://www.simon.com/mall/lenox-square","(404) 233-6767"
ChIJf04EMFuU9YgR4KKvOBkxfKE,"Mall of Georgia","mall","3333 Buford Dr, Buford, GA 30519, USA",34.0651406,-83.9844837,4.5,19494,"https://www.simon.com/mall/mall-of-georgia","(678) 482-8788"
ChIJ4fJpipWfToYR1Kr3mLoQ_JU,"NorthPark Center","mall","8687 N Central Expy, Dallas, TX 75225, USA",32.868639,-96.77392979999999,4.6,19379,"http://www.northparkcenter.com/","(214) 363-7441"
ChIJIf-ff_9y2jERb19MfG9Nuw0,"Paradigm Mall Johor Bahru JB","mall","K013, Paradigm Mall, Skudai Hwy, Taman Bukit Mewah, 81200 Johor Bahru, Johor, Malaysia",1.5156318,103.68574369999999,4.3,19254,"http://www.paradigmmall.com.my/jb","07-231 3888"
ChIJ9b849YC32YgR612tUl-KdyM,"Brickell City Centre","mall","701 S Miami Ave, Miami, FL 33130, USA",25.7672194,-80.1926107,4.7,18943,"https://www.simon.com/mall/brickell-city-centre","(786) 515-9041"
