id,name,category,verificationStatus,verifiedBy,rating,userRatingCount,scannedReviews,dogFriendlyMentions,keywords,address,lat,lng,website,phone
ChIJR80Wwcoi2jERWfhrUz-n24Y,Pet Lovers Centre - Bedok Mall,supplies,verified,,4.2,160,5,0,,"311 New Upper Changi Rd, #B2 - 59 Bedok Mall, Singapore 467360",1.3245483999999998,103.9288892,https://www.petloverscentre.com/,6844 9791
ChIJkaIuTuUW2jER0jvkeQGdb7c,Magic Kitchen,cafe,verified,,4.3,325,5,0,,"529 Ang Mo Kio Ave 10, #01-2335, Singapore 560529",1.3722784,103.8553647,,6453 3781
ChIJ-9p5KjA92jERaT2wTKKu2s8,GIG Cafe,cafe,verified,,4.5,293,5,0,,"Blk 419 Tampines Street 41, #01-104, Singapore 520419",1.3577348999999999,103.9466442,https://gigcoffee.com.sg/,6588 5688
ChIJPX88s_AZ2jERG0TirQPHyl0,What The Pug,cafe,verified,,4.4,291,5,0,,"80 Haji Ln, Singapore 189271",1.3015786,103.8585288,http://www.beau.com.sg/,6293 3350
ChIJMSTVeTsZ2jERJChbJmOAEyg,Snow Pawttage | Reservation required,cafe,verified,,4.9,288,5,0,,"723 Geylang Rd, Singapore 389634",1.3148187999999998,103.8901362,https://www.instagram.com/samoyedcafe.sgsnowpawttage?igsh=MW9kYXd6Mnp3OTdvYw==,
ChIJo0JASDoX2jERdFmLvAhKi7E,State Of Affairs,cafe,verified,,4.3,287,5,0,,"183 Upper Thomson Rd, #01-02, Singapore 574332",1.3509022,103.8355948,http://www.stateofaffairs.sg/,8098 0183
ChIJQ2iAPgAT2jERHT-jqpQ8gw8,Watering Hole Cafe,cafe,verified,,4.7,273,5,0,,"20 Mandai Lake Rd, Singapore 729825",1.4086157,103.7822327,https://www.mandai.com/en/dine-and-shop/dining-outlets.html,
ChIJ9UVmKtsX2jERYryVc5sHloY,LoFi X Whisk by M,cafe,verified,,4.7,255,5,0,,"108 Hougang Ave 1, #01-1281, Singapore 530108",1.352862,103.88992599999999,https://order.dinlr.com/lofi-online,8314 7672
ChIJyyaE0q4e2jERSZ9xGmqPcI0,Sofitel Singapore Sentosa,hotel,verified,,4.3,6042,5,0,,"2 Bukit Manis Rd, Sentosa, Singapore 099891",1.2457019,103.8277056,http://sofitel.accor.com/hotels/9474?merchantid=seo-maps-SG-9474&sourceid=aw-cen&utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps&utm_term=Sofitel-Launch,6708 8310
ChIJZRZ9yroZ2jER4R3Hm0_9Phs,InterContinental Singapore,hotel,verified,,4.6,5381,5,0,,"80 Middle Rd, Singapore 188966",1.2984504,103.85486499999999,https://www.ihg.com/intercontinental/hotels/us/en/singapore/sinhb/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-SG-_-SINHB,6338 7366
ChIJ7xZ3TVUZ2jERfjDHnlIvir8,Amara Sanctuary Sentosa,hotel,verified,,4.3,4478,5,0,,"Sentosa Island, 1 Larkhill Rd, Singapore 099394",1.2520799000000002,103.822159,https://sentosa.amarahotels.com/,6825 3888
ChIJjS4cuwoZ2jERCTeN-k9LUIE,Paradox Singapore,hotel,verified,,4.4,4463,5,0,,"20 Merchant Rd, Singapore 058281",1.2884308,103.8458053,https://www.paradoxhotels.com/singapore/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,6337 2288
ChIJqbrxYIwZ2jERV9rTVcsl1Lk,Four Seasons Hotel Singapore,hotel,verified,,4.6,3285,5,0,,"190 Orchard Blvd, Singapore 248646",1.3050876999999999,103.828718,https://www.fourseasons.com/singapore/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-sin-hre-mid-seo-na&utm_content=na-na&utm_term=na,6734 1110
ChIJF75fVaoe2jERZYVUuHEz-lQ,Capella Singapore,hotel,verified,,4.7,2659,5,0,,"1 The Knolls, Sentosa Island, Singapore 098297",1.2497222,103.8241667,https://www.capellahotels.com/en/capella-singapore?utm_source=google&utm_medium=organic&utm_campaign=gbpcapella_singapore,6377 8888
ChIJnaclKngb2jERIZvtEgenn8w,Village Hotel Sentosa,hotel,verified,,4.3,1797,5,0,,"10 Artillery Ave, #02-01 Palawan Ridge, Sentosa Island, Singapore 099951",1.2523958,103.8201982,https://www.villagehotels.asia/en/hotels/village-hotel-sentosa?utm_source=googleplaces_vhs&utm_medium=organic,6722 0800
